airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Economy,22.83,1,12150
Air_India,AI-803,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,1,12150
Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,17.75,1,12215
SpiceJet,SG-339,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.58,1,12230
AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,1,12539
Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,12938
Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,1,12990
Air_India,AI-429,Delhi,Morning,one,Morning,Mumbai,Economy,22.25,1,12990
Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26,1,12990
Air_India,AI-9645,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.75,1,13086
Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,1,13279
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,13279
Indigo,6.00E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,1,13279
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,1,13279
Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,1,13279
Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,13410
Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8,1,13767
Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,1,14250
Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,14670
Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,1,15195
Indigo,6.00E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,1,15720
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,1,15720
Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,1,15720
Air_India,AI-801,Delhi,Evening,one,Night,Mumbai,Economy,29.33,1,16245
Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,1,16455
Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75,1,16665
Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,1,17295
Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Economy,26.5,1,18030
Air_India,AI-767,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,1,19710
Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,1,19710
Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,1,19815
Air_India,AI-409,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,1,23206
Air_India,AI-429,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,1,24540
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11,1,25800
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.08,1,29580
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,2,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5953
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5955
Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,2,5955
Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
Indigo,6.00E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,2,5955
Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,2,5955
Indigo,6E-6722,Delhi,Night,zero,Night,Mumbai,Economy,2.25,2,5955
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,2,5955
AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,2,5956
Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2,2,5955
Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,2,5955
Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5955
Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5955
AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,2,5949
AirAsia,I5-747,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,2,5949
Air_India,AI-636,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.5,2,5955
Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,2,5955
AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,2,7419
Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,2,7845
Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,2,8396
SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,2,8869
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,2,9183
Air_India,AI-469,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,9840
Air_India,AI-542,Delhi,Morning,one,Night,Mumbai,Economy,14.17,2,9840
Air_India,AI-560,Delhi,Morning,one,Night,Mumbai,Economy,15.75,2,9840
Air_India,AI-403,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.33,2,10303
Indigo,6E-2154,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.08,2,10523
Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,2,10523
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,2,10838
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,2,10838
Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,2,10838
Air_India,AI-544,Delhi,Evening,one,Night,Mumbai,Economy,6.67,2,11100
Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8,2,11326
Indigo,6.00E-282,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,9.67,2,11678
Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,2,11814
Indigo,6.00E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,2,11814
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,10.08,2,11900
Air_India,AI-9857,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,12298
Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,2,12302
Air_India,AI-504,Delhi,Night,one,Night,Mumbai,Economy,23.5,2,12465
Air_India,AI-885,Delhi,Morning,one,Late_Night,Mumbai,Economy,13.25,2,12675
SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,2,12850
Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,2,12990
Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5,2,12990
Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,2,12990
Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,2,12990
Air_India,AI-885,Delhi,Morning,one,Morning,Mumbai,Economy,21.42,2,12990
Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,2,13830
Air_India,AI-885,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,2,14250
Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26,2,15195
Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,2,15232
Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25,2,15510
Indigo,6.00E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,2,15720
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,2,15720
Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,2,15720
Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,2,16035
Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,2,18135
Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,2,18135
Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,2,20445
Air_India,AI-9809,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83,2,21180
Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92,2,22335
Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,2,24855
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,2,29580
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,3,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,3,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,3,5953
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5955
Indigo,6.00E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,3,5955
Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,3,5955
Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,3,5955
AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,3,5956
Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,3,5955
Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5955
Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,5955
Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,5955
Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,3,5955
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,6060
SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,3,6270
Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2,3,6795
Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,3,7420
Indigo,6E-2154,Delhi,Morning,one,Afternoon,Mumbai,Economy,5,3,7583
Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,3,7845
Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,8055
Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,3,8370
Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,8370
AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,3,9840
Air_India,AI-475,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.58,3,9988
Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6,3,10523
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,3,10759
Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75,3,10785
Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,3,10943
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,3,11326
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,3,11326
Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,3,11468
SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,3,11809
Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,3,11814
Indigo,6.00E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,3,11814
Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,16.5,3,11900
Indigo,6.00E-181,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.83,3,11993
SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,3,12010
Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,Economy,11.33,3,12150
Air_India,AI-504,Delhi,Night,one,Night,Mumbai,Economy,23.83,3,12150
Air_India,AI-803,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,3,12150
Air_India,AI-9645,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.83,3,12298
Air_India,AI-803,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.92,3,12465
Indigo,6E-2092,Delhi,Evening,one,Night,Mumbai,Economy,5.33,3,12570
Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,3,12570
AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,3,12990
Air_India,AI-9911,Delhi,Morning,one,Afternoon,Mumbai,Economy,26.08,3,13086
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,3,13200
Indigo,6E-5063,Delhi,Afternoon,one,Night,Mumbai,Economy,5.42,3,13279
Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,3,13515
Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,3,13767
Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,3,14250
Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8,3,14744
Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,3,15090
Indigo,6E-7403,Delhi,Early_Morning,one,Evening,Mumbai,Economy,8.67,3,15232
Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,3,15232
Air_India,AI-429,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,3,15405
Indigo,6E-6722,Delhi,Night,zero,Night,Mumbai,Economy,2.25,3,15720
Indigo,6.00E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,3,15720
Indigo,6E-2154,Delhi,Morning,one,Evening,Mumbai,Economy,9.25,3,15720
Air_India,AI-540,Delhi,Night,one,Evening,Mumbai,Economy,20.42,3,15825
Air_India,AI-537,Delhi,Evening,one,Evening,Mumbai,Economy,24.83,3,15825
Air_India,AI-801,Delhi,Evening,one,Night,Mumbai,Economy,29.33,3,16245
Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,3,17295
Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,3,18135
Air_India,AI-807,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,3,19605
Air_India,AI-502,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,3,19605
Air_India,AI-502,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,3,19920
Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Economy,22.83,3,22755
Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,3,22965
Air_India,AI-506,Delhi,Morning,one,Night,Mumbai,Economy,11.33,3,23070
Air_India,AI-811,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.58,3,24225
Air_India,AI-431,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.17,3,24225
Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25,3,24435
Air_India,AI-9809,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83,3,25223
Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,3,26325
Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,3,27165
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,3,29580
Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92,3,31260
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,4,5953
SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,4,5953
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,4,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,4,5953
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,4,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,4,5953
Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,4,5955
Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,4,5955
Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,4,5955
Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,4,5955
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,4,5955
Indigo,6.00E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,4,5955
Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,4,5955
Indigo,6E-6722,Delhi,Night,zero,Night,Mumbai,Economy,2.25,4,5955
Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,4,5955
Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,4,5955
Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2,4,5955
Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,4,5955
Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,4,5955
Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,4,5955
Air_India,AI-678,Delhi,Morning,zero,Morning,Mumbai,Economy,2.25,4,5955
Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,4,5955
AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,4,5949
Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,4,5955
SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,4,5955
Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,4,5955
Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,4,5955
Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,4,5955
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,4,5955
SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,4,5955
AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,4,6139
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,4,6165
SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,4,6270
Indigo,6E-2092,Delhi,Evening,one,Night,Mumbai,Economy,5.33,4,6443
Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,4,6932
Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,4,7420
Indigo,6.00E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,4,7420
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,4,7420
Air_India,AI-435,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.5,4,8413
Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,4,8790
Air_India,AI-499,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.83,4,8790
Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8,4,8885
Air_India,AI-9887,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.17,4,9000
Air_India,AI-469,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.83,4,9000
Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,4,9525
Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6,4,9788
Air_India,AI-483,Delhi,Evening,one,Evening,Mumbai,Economy,23.92,4,9905
Air_India,AI-475,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.58,4,9988
Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75,4,10260
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,4,10349
Indigo,6.00E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,4,10523
Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,4,10680
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,4,11900
Air_India,AI-502,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,4,12150
Air_India,AI-506,Delhi,Morning,one,Night,Mumbai,Economy,11.33,4,12150
Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,Economy,11.33,4,12150
Air_India,AI-803,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.92,4,12150
Air_India,AI-807,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,4,12150
Air_India,AI-502,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,4,12150
Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Economy,22.83,4,12150
Air_India,AI-803,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,4,12150
SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,4,12228
Air_India,AI-9857,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,4,12298
Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,4,12302
Air_India,AI-451,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.92,4,12360
Indigo,6.00E-181,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.83,4,12518
Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,4,12990
Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,4,12990
Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,4,12990
Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,4,12990
Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,4,12990
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,4,13200
Air_India,AI-885,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,4,14775
Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5,4,15143
Air_India,AI-429,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,4,15720
Air_India,AI-471,Delhi,Afternoon,one,Evening,Mumbai,Economy,4.58,4,15825
Air_India,AI-429,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,4,15825
Air_India,AI-439,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11,4,15825
Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25,4,20025
Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92,4,20025
Air_India,AI-540,Delhi,Night,one,Evening,Mumbai,Economy,21.58,4,21180
Air_India,AI-537,Delhi,Evening,one,Evening,Mumbai,Economy,26,4,21180
Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,4,21390
Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,4,24540
SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,5,5953
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,5,5953
SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,5,5953
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,5,5953
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,5,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,5,5953
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,5,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,5,5953
Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,5,5955
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,5,5955
Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,5,5955
Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,5,5955
Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,5,5955
Indigo,6.00E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,5,5955
